UCWF,UCWDP,UCFDP,UCFMS,UCFMEP,UCAF,UCFMC,UCMVB,UCAH,UCFS,UCFVB,UCFMV,UCFMT,UCHC,UCHAH,UCHV,MVWF2,MVCV,MVDP,MVWF1,MVWF1.setting,MVSO,MVOT,CPPR,CPHE,CPMEP,CPCF,CPHP,CPMC,CPAH,CPMV,CPMT,CPSP,CPDP,UCSDP,AMBH,AMBT,UCAIH,UCAIT,UCAOH,UCAOT,UCWIT,UCWOT,timestamp,experiment_id,season,T_initial,T_setpoint,frequency_factor
-2,7,101.59,1395,118,1381,1.05,1.22,42,1418,1.81,353,35.4,3.087,2,407.1,-2,-0.05,2,1,1,0,0,28,0,2,0,1,0.007,2.4,406.4,0,68,95,13.19,67,18.7,70.1,18.12,79.89,16.68,10.37,15.59,1970-01-01 00:00:00.000000030,DS05,winter,18.7,28.0,
-2,5,99.15,1395,125,1364,1.05,1.22,42,1432,1.62,353,35.3,3.09,2,407.1,-2,-0.05,2,1,1,0,0,27,0,2,0,1,0.007,2.4,406.4,0,69,95,13.19,67,18.69,70.1,18.12,79.86,16.68,10.37,15.64,1970-01-01 00:00:00.000000031,DS05,winter,18.7,28.0,
-1,5,100.12,1395,125,1371,1.05,1.25,62,1432,1.59,353,41.7,3.07,4,404.8,-1,-0.05,1,1,1,0,0,37,0,4,0,-1,0.008,2.9,403.7,0,66,103,14.16,51,22.13,51.93,21.85,49.83,22.26,13.15,17.64,1970-01-01 00:00:00.000000031,DS04,winter,22.13,27.0,
0,7,100.12,1395,126,1371,1.05,1.25,42,1421,1.45,353,35.4,3.087,2,407.1,0,-0.05,0,1,1,0,0,27,0,2,0,1,0.008,2.4,406.0,0,69,95,12.7,67,18.7,70.12,18.12,79.86,16.65,10.37,15.64,1970-01-01 00:00:00.000000032,DS05,winter,18.7,28.0,
-1,5,99.15,1395,125,1364,1.06,1.26,62,1432,1.61,352,41.7,3.07,4,404.8,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.7,0,66,103,14.16,51,22.13,51.93,21.85,49.83,22.27,13.15,17.64,1970-01-01 00:00:00.000000032,DS04,winter,22.13,27.0,
-3,7,99.15,1395,125,1364,1.05,1.26,62,1432,1.4,351,41.7,3.068,4,404.5,-3,-0.05,3,1,1,0,0,37,0,4,0,-1,0.007,2.9,403.9,0,65,103,14.16,51,22.13,51.93,21.85,49.81,22.27,13.15,17.64,1970-01-01 00:00:00.000000033,DS04,winter,22.13,27.0,
0,7,99.63,1395,136,1367,1.05,1.14,42,1430,1.65,352,35.3,3.087,2,407.1,0,-0.05,0,1,1,0,0,28,0,2,0,1,0.008,2.4,405.9,0,69,95,13.19,67,18.7,70.1,18.12,79.84,16.68,10.37,15.64,1970-01-01 00:00:00.000000033,DS05,winter,18.7,28.0,
0,6,97.68,1395,130,1354,1.05,1.26,42,1433,1.51,353,35.3,3.089,2,406.9,0,-0.05,0,1,1,0,0,29,0,2,0,1,0.009,2.4,406.0,0,67,95,13.19,67,18.7,70.12,18.12,79.82,16.7,10.37,15.59,1970-01-01 00:00:00.000000034,DS05,winter,18.7,28.0,
-1,5,98.66,1395,128,1361,1.06,1.32,62,1418,1.5,351,41.8,3.07,4,404.7,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.9,0,66,103,14.16,51,22.13,51.93,21.85,49.81,22.24,13.15,17.64,1970-01-01 00:00:00.000000034,DS04,winter,22.13,27.0,
-1,7,99.63,1395,134,1367,1.06,1.41,62,1432,1.4,351,41.7,3.068,4,404.8,-1,-0.05,1,1,1,0,0,37,0,4,0,-1,0.008,2.9,403.7,0,66,103,13.68,51,22.13,51.93,21.85,49.81,22.24,13.15,17.64,1970-01-01 00:00:00.000000035,DS04,winter,22.13,27.0,
-2,6,99.63,1395,132,1367,1.06,1.31,42,1432,1.7,353,35.3,3.082,2,406.9,-2,-0.05,2,1,1,0,0,28,0,2,0,1,0.008,2.4,406.1,0,68,95,13.19,67,18.7,70.1,18.12,79.82,16.68,10.37,15.59,1970-01-01 00:00:00.000000035,DS05,winter,18.7,28.0,
0,6,98.66,1395,126,1361,1.06,1.1,42,1418,1.48,353,35.3,3.082,2,406.9,0,-0.05,0,1,1,0,0,28,0,2,0,1,0.007,2.4,406.1,0,68,95,12.7,67,18.7,70.1,18.12,79.79,16.71,10.37,15.59,1970-01-01 00:00:00.000000036,DS05,winter,18.7,28.0,
-2,7,100.12,1395,126,1371,1.06,1.33,62,1432,1.53,351,41.7,3.068,4,404.8,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.7,0,66,103,14.16,51,22.13,51.93,21.85,49.78,22.24,13.15,17.64,1970-01-01 00:00:00.000000036,DS04,winter,22.13,27.0,
0,6,99.15,1395,126,1364,1.05,1.27,42,1418,1.87,353,35.3,3.085,2,406.9,0,-0.05,0,1,1,0,0,28,0,2,0,1,0.007,2.4,406.1,0,68,95,12.7,67,18.7,70.1,18.12,79.77,16.65,10.37,15.59,1970-01-01 00:00:00.000000037,DS05,winter,18.7,28.0,
-2,5,99.15,1395,121,1364,1.06,1.26,62,1432,1.55,351,41.7,3.068,4,404.7,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.9,0,66,103,14.16,51,22.13,51.93,21.85,49.74,22.3,13.15,17.64,1970-01-01 00:00:00.000000037,DS04,winter,22.13,27.0,
-2,5,101.1,1395,126,1378,1.05,1.48,62,1419,1.54,351,41.7,3.068,4,404.7,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.9,0,66,103,14.16,51,22.13,51.93,21.85,49.74,22.26,13.15,17.64,1970-01-01 00:00:00.000000038,DS04,winter,22.13,27.0,
0,6,99.15,1395,123,1364,1.06,1.35,42,1433,1.31,353,35.3,3.086,2,406.7,0,-0.05,0,1,1,0,0,27,0,2,0,1,0.008,2.4,405.7,0,67,95,12.7,67,18.7,70.12,18.12,79.74,16.71,10.37,15.59,1970-01-01 00:00:00.000000038,DS05,winter,18.7,28.0,
-2,6,98.66,1395,126,1361,1.06,1.17,42,1432,1.5,352,35.3,3.083,2,406.8,-2,-0.05,2,1,1,0,0,27,0,2,0,1,0.008,2.4,405.9,0,67,95,12.7,67,18.7,70.22,18.12,79.72,16.68,10.37,15.59,1970-01-01 00:00:00.000000039,DS05,winter,18.7,28.0,
